english,hindi,link
Sheep farming,भेड़ पालन,https://en.wikipedia.org/wiki/Sheep_farming
Animal health,पशु स्वास्थ्य,https://en.wikipedia.org/wiki/Animal_husbandry#Animal_health
Crop Rotation,फसल का चक्रिकरण,https://en.wikipedia.org/wiki/Crop_rotation
Wheat,गेहूं,"https://farmer.gov.in/M_cropstaticswheat.aspx#:~:text=Wheat%20is%20the%20main%20cereal,million%20hectares%20in%20the%20country.&text=India%20also%20produces%20around%201.0,problems%20in%20the%20market%20yards."
Agricultural soil science,कृषि मृदा विज्ञान,https://en.wikipedia.org/wiki/Agricultural_soil_science
Nursery plants,नर्सरी के पौधे,https://nurserylive.com/
Papaya (Raw),पपीता (कच्चा),https://www.agrifarming.in/papaya-farming
Liquid biofuel,तरल जैव ईंधन,https://en.wikipedia.org/wiki/Biofuel#Liquid_biofuel
Farm water,खेत का पानी,https://en.wikipedia.org/wiki/Farm_water
Oats,जई,https://en.wikipedia.org/wiki/Oats
Extensive farming,व्यापक खेती,https://en.wikipedia.org/wiki/Extensive_farming
Agroecology,कृषि पारिस्थितिकी,https://en.wikipedia.org/wiki/Agroecology
Walnuts,अखरोट,https://www.agrifarming.in/walnut-farming
Production,उत्पादन,https://en.wikipedia.org/wiki/Agriculture#Production
Apricot,खुबानी,https://en.wikipedia.org/wiki/Apricot
Tobacco cultivation,तंबाकू की खेती,https://en.wikipedia.org/wiki/Cultivation_of_tobacco
LiveStock Census in India,भारत में पशुधन जनगणना,https://vikaspedia.in/agriculture/agri-directory/reports-and-policy-briefs/20th-livestock-census
Catch crop,फसल पकड़ो,https://en.wikipedia.org/wiki/Catch_crop
Forestry occupations,वानिकी व्यवसाय,https://en.wikipedia.org/wiki/Forest_gardening
Street market,सड़क का बाजार,https://en.wikipedia.org/wiki/Street_market
Irrigation statistics,सिंचाई के आँकड़े,https://en.wikipedia.org/wiki/Irrigation_statistics
Freshwater ecosystems,मीठे पानी का पारिस्थितिकी तंत्र,https://en.wikipedia.org/wiki/Aquaculture#Freshwater_ecosystems
Sweet Potato,शकरकंद,"https://www.apnikheti.com/en/pn/agriculture/horticulture/vegetable-crops/sweet-potato#:~:text=It%20is%20grown%20in%20variety,not%20good%20for%20tuber%20development."
Agricultural policy,कृषि नीति,https://en.wikipedia.org/wiki/Agricultural_policy
Grapefruit,चकोतरा,https://en.wikipedia.org/wiki/Grapefruit
Women in agriculture in India,भारत में कृषि में महिलाएं,https://en.wikipedia.org/wiki/Women_in_agriculture_in_India
Pashu Kisan Credit Card,पाशु किसान क्रेडिट कार्ड,https://krishijagran.com/agriculture-world/pashu-kisan-credit-card-yojana-eligibility-benefits-loan-amount-necessary-documents-methods-to-apply/
Drumstick,ढोल का छड़ी,"https://krishijagran.com/agripedia/drumstick-cultivation-a-guidance-for-beginners/#:~:text=Soil%20preparation%20and%20sowing%2D%20The,grows%20best%20in%20the%20summer.&text=After%205%2D10%20days%20after,to%20grow%20between%20the%20plants."
Algaecides,शैवालनाशक,https://en.wikipedia.org/wiki/Algaecides
Winemaking,शराब बनाना,https://en.wikipedia.org/wiki/Winemaking
Pradhan Mantri Gramin Awaas Yojana,प्रधानमंत्री ग्रामीण आवास योजना,https://en.wikipedia.org/wiki/Pradhan_Mantri_Gramin_Awaas_Yojana
Applying for financial aid in Agri ,कृषि में वित्तीय सहायता के लिए आवेदन करना,https://www.bankbazaar.com/home-loan/types-of-agricultural-loans-in-india.html
Fruits,फल,https://en.wikipedia.org/wiki/Fruit
Zucchini,तुरई,https://en.wikipedia.org/wiki/Zucchini
Seed saving,बीज की बचत,https://en.wikipedia.org/wiki/Seed_saving
Strawberry,स्ट्रॉबेरी,https://en.wikipedia.org/wiki/Strawberry
Animal husbandry Effects,पशुपालन प्रभाव,https://en.wikipedia.org/wiki/Animal_husbandry#Effects
Methods of identifying the pest,कीट की पहचान करने के तरीके,https://eorganic.org/node/2721
Geoduck aquaculture,जिओडक एक्वाकल्चर,https://en.wikipedia.org/wiki/Geoduck_aquaculture
Angling,मछली पकड़ने,https://en.wikipedia.org/wiki/Fishing_techniques#Angling
Leather from crocodile,मगरमच्छ से चमड़ा,https://investigations.peta.org/vietnam-crocodile-skin-farm/
Houseplants,हाउसप्लांट,https://en.wikipedia.org/wiki/Houseplant
Rainwater harvesting,बारिश के पानी का संग्रहण,https://en.wikipedia.org/wiki/Permaculture#Rainwater_harvesting
Pradhan Mantri Krishi Sinchai Yojana (PMKSY),प्रधानमंत्री कृषि सिंचाई योजना (पीएमकेएसवाई),https://pmksy.gov.in/AboutPMKSY.aspx
Bamboo,बांस,https://en.wikipedia.org/wiki/Bamboo
Pashmina,पश्मीना,https://en.wikipedia.org/wiki/Pashmina
Poultry Issues,पोल्ट्री मुद्दे,https://en.wikipedia.org/wiki/Poultry_farming#Issues
Mulberry,शहतूत,https://vikaspedia.in/agriculture/farm-based-enterprises/sericulture/mulberry-cultivation
Ministry of Rural Development,ग्रामीण विकास मंत्रालय,https://en.wikipedia.org/wiki/Ministry_of_Rural_Development_(India)
Queen bee,रानी मधुमक्खी,https://en.wikipedia.org/wiki/Queen_bee
Broken wheat,टूटा हुआ गेहूं,https://bakerpedia.com/ingredients/cracked-wheat/
Forest gardening,वन बागवानी,https://en.wikipedia.org/wiki/Forest_gardening
List of tea companies,चाय कंपनियों की सूची,https://en.wikipedia.org/wiki/List_of_tea_companies
Types/breeds of bees in India and worldwide,भारत और दुनिया भर में मधुमक्खियों के प्रकार / नस्लें,https://agritech.tnau.ac.in/farm_enterprises/fe_api_typesofhoneybee.html
Shepherd,चरवाहा,https://en.wikipedia.org/wiki/Shepherd
Dairy cows,दुधारू गायें,https://en.wikipedia.org/wiki/Dairy_cow
Animal-free agriculture,पशु मुक्त कृषि,https://en.wikipedia.org/wiki/Animal-free_agriculture
Silk products,रेशम उत्पाद,https://en.wikipedia.org/wiki/Silk#Applications
Pruning,छंटाई,https://en.wikipedia.org/wiki/Pruning
Soil type,मिट्टी के प्रकार,https://en.wikipedia.org/wiki/Soil_type
Subsistence Farming,निर्वाह कृषि,https://www.britannica.com/topic/subsistence-farming
Permanent crop,स्थायी फसल,https://ec.europa.eu/eurostat/statistics-explained/index.php/Glossary:Permanent_crops
Freshwater or Inland Fishery,मीठे पानी या अंतर्देशीय मत्स्य पालन,https://dof.gov.in/inland-fisheries
Animal breeding,जानवरों की अभिजाती,https://en.wikipedia.org/wiki/Selective_breeding#Animal_breeding
Indian Gooseberry,भारतीय करौदा,"https://vikaspedia.in/agriculture/crop-production/package-of-practices/fruits-1/amla#:~:text=It%20is%20a%20tropical%20plant,up%20to%2046OC."
Banana,केला,https://en.wikipedia.org/wiki/Banana
Beeswax,मोम,https://en.wikipedia.org/wiki/Beeswax
MSP,एमएसपी,https://farmer.gov.in/#
Factors affecting sustainability,स्थिरता को प्रभावित करने वाले कारक,https://en.wikipedia.org/wiki/Sustainable_agriculture#Factors_affecting_sustainability
List of woods,जंगल की सूची,https://en.wikipedia.org/wiki/List_of_woods
F2C services,F2C सेवाएं,http://www.ipsnews.net/2020/07/digital-agriculture-linking-indian-farmers-consumers-impact-food-security/
Crops,फसलों,"https://en.wikipedia.org/wiki/Crop#:~:text=A%20crop%20is%20a%20plant,in%20a%20more%20refined%20state."
Green revolution,हरित क्रांति,https://en.wikipedia.org/wiki/Green_Revolution_in_Indiahttps://en.wikipedia.org/wiki/Green_Revolution_in_India
Water,पानी,https://en.wikipedia.org/wiki/Water
Disease And Symptoms in Animals,पशुओं में रोग और लक्षण,https://vikaspedia.in/agriculture/livestock/general-management-practices-of-livestock/common-animal-diseases-and-their-prevention-and-treatments
Ministry of Agriculture and Farmers' Welfar,कृषि और किसान कल्याण मंत्रालय,https://en.wikipedia.org/wiki/Ministry_of_Agriculture_and_Farmers%27_Welfare
Free range,मुफ्त रेंज,https://en.wikipedia.org/wiki/Free_range
Agriculture Infrastructure Fund,कृषि अवसंरचना कोष,https://vikaspedia.in/schemesall/schemes-for-farmers/agriculture-infrastructure-fund
Watermelon Seeds,तरबूज के बीज,https://www.agrifarming.in/watermelon-seed-germination-time-temperature-process
Pesticides,कीटनाशकों,https://en.wikipedia.org/wiki/Pesticides
Pradhan Mantri Ujjwala Yojana,प्रधानमंत्री उज्ज्वला योजना,https://en.wikipedia.org/wiki/Pradhan_Mantri_Ujjwala_Yojana
Oil seeds,तिलहन,https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/oilseeds
List of bamboo species,बांस प्रजातियों की सूची,https://en.wikipedia.org/wiki/List_of_bamboo_species
Bull,सांड,https://en.wikipedia.org/wiki/Dairy_cattle#Bull
Paper,कागज़,https://en.wikipedia.org/wiki/Paper
Marigold,गेंदे का फूल,"https://www.bighaat.com/blogs/kb/best-cultivation-practices-of-marigold-flower-crop#:~:text=The%20demand%20for%20Marigold%20flowers,7.0%2D7.5%20is%20most%20desirable."
Farming methods,कृषि के तरीके,https://krishijagran.com/agriculture-world/top-5-farming-techniques-government-should-promote-more-to-help-farmers-earn-extra-money/
National Agriculture Market (e-NAM),राष्ट्रीय कृषि बाजार (e-NAM),https://www.enam.gov.in/
Mango (Raw),आम (कच्चा),https://en.wikipedia.org/wiki/Mango
Harrow,हेंगा,https://en.wikipedia.org/wiki/Harrow_(tool)
Wood Physical properties,लकड़ी भौतिक गुण,https://en.wikipedia.org/wiki/Wood#Physical_properties
Cotton mill,कपास कारख़ाना,https://en.wikipedia.org/wiki/Cotton_mill
Sheep Crutching,भेड़ क्रचिंग,https://en.wikipedia.org/wiki/Sheep_farming#Crutching
Farming methods and practices best suited for particular crops,विशेष फसलों के लिए सबसे उपयुक्त खेती के तरीके और तरीके,https://medium.com/@shinebrandseeds/agriculture-and-farming-methods-in-india-564d6b249f63
Livestock,पशु,https://en.wikipedia.org/wiki/Livestock
Goats in India and worldwide,भारत और दुनिया भर में बकरियां,https://dahd.nic.in/sites/default/filess/NAP%20on%20Goat.pdf
Water Distribution in nature,प्रकृति में जल वितरण,https://en.wikipedia.org/wiki/Water#Distribution_in_nature
Sheep farming Facilities,भेड़ पालन सुविधाएं,https://en.wikipedia.org/wiki/Sheep_farming#Facilities
Types of aquatic plants,जलीय पौधों के प्रकार,https://sciencing.com/types-of-aquatic-plants-12003789.html
Dragon Fruit,ड्रैगन फल,https://www.agrifarming.in/dragon-fruit-cultivation
Rubber Production,रबड़ उत्पादन,https://en.wikipedia.org/wiki/Natural_rubber#Production
"Names of schemes/policies available to farmers,","किसानों के लिए उपलब्ध योजनाओं/नीतियों के नाम,",https://agricoop.nic.in/programmes-schemes-listing
Spinning wheel,चरखा,https://en.wikipedia.org/wiki/Spinning_wheel
Tea Usage/ production in India and worldwide,भारत और दुनिया भर में चाय का उपयोग / उत्पादन,https://en.wikipedia.org/wiki/List_of_tea_companies
